loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status
Education Loan,13666,0.06772357,25,Full-time,Low,327,Male,Married,Bachelor,0
Personal Loan,39660,0.102985516,32,Full-time,Low,435,Male,Single,PhD,0
Car Loan,4561,0.087497962,37,Self-employed,High,704,Male,Married,Master,0
Home Loan,27854,0.059010407,14,Self-employed,Low,804,Female,Single,PhD,0
Home Loan,65505,0.085514739,51,Part-time,Medium,540,Female,Single,Bachelor,0
Home Loan,53251,0.048499602,15,Full-time,High,743,Male,Single,Master,1
Car Loan,23662,0.08938262,47,Self-employed,Low,733,Male,Married,High School,0
Home Loan,9392,0.093278472,54,Full-time,Low,527,Male,Married,PhD,0
Personal Loan,31535,0.071114661,12,Self-employed,Low,808,Male,Single,PhD,0
Home Loan,79603,0.081853215,51,Self-employed,Medium,602,Male,Married,Master,1
Car Loan,53256,0.109312362,58,Full-time,Low,333,Female,Divorced,Bachelor,0
Personal Loan,90135,0.072413799,44,Part-time,Medium,301,Male,Single,PhD,1
Education Loan,36222,0.064116386,18,Self-employed,Medium,661,Female,Single,Master,1
Personal Loan,78373,0.102224951,22,Full-time,Low,494,Male,Divorced,Bachelor,1
Car Loan,80575,0.109438808,38,Self-employed,Low,607,Male,Divorced,PhD,0
Personal Loan,97354,0.080055435,25,Full-time,High,549,Female,Single,Master,0
Home Loan,85651,0.095171946,33,Full-time,High,446,Female,Divorced,Bachelor,0
Car Loan,64335,0.100122139,27,Self-employed,High,645,Male,Single,PhD,0
Education Loan,11965,0.068862737,57,Part-time,Medium,647,Female,Married,PhD,1
Home Loan,25538,0.072720412,23,Self-employed,Low,553,Female,Divorced,Bachelor,0
Car Loan,71592,0.098463118,57,Self-employed,High,698,Male,Single,Bachelor,1
Car Loan,99018,0.105275214,21,Part-time,Medium,633,Male,Single,Master,0
Education Loan,9110,0.088443213,35,Part-time,High,475,Male,Single,PhD,0
Education Loan,80309,0.066802785,57,Full-time,High,424,Female,Divorced,PhD,0
Car Loan,28266,0.109805917,29,Full-time,Low,697,Male,Married,Master,1
Education Loan,53992,0.072035437,33,Part-time,Low,430,Male,Married,PhD,1
Education Loan,83948,0.074972933,20,Part-time,Medium,706,Female,Divorced,PhD,0
Home Loan,99806,0.085135068,28,Self-employed,Low,633,Male,Single,PhD,0
Car Loan,7910,0.103312406,49,Part-time,High,319,Female,Single,High School,0
Personal Loan,91982,0.09280964,51,Self-employed,Medium,504,Female,Single,Bachelor,0
Home Loan,1206,0.086222983,24,Self-employed,Medium,654,Male,Divorced,High School,0
Car Loan,88054,0.086949328,48,Self-employed,Medium,472,Female,Divorced,High School,0
Car Loan,88897,0.08065272,17,Part-time,Medium,488,Female,Single,Bachelor,0
Home Loan,24419,0.088372093,32,Part-time,Low,301,Male,Single,High School,1
Education Loan,51636,0.042056599,47,Self-employed,High,467,Female,Single,Master,0
Personal Loan,51015,0.075550888,18,Part-time,Low,667,Male,Divorced,High School,0
Personal Loan,55268,0.083619829,47,Full-time,Low,835,Male,Divorced,Master,0
Car Loan,88939,0.062734789,36,Full-time,Medium,669,Male,Married,Bachelor,0
Car Loan,19141,0.08579485,22,Self-employed,Low,736,Male,Single,PhD,0
Personal Loan,81356,0.076932932,55,Part-time,Low,506,Male,Single,Bachelor,0
Car Loan,72910,0.106332135,25,Full-time,High,348,Female,Married,Bachelor,0
Personal Loan,57044,0.103595296,56,Self-employed,Medium,843,Female,Single,High School,0
Education Loan,68214,0.073012916,40,Full-time,Low,428,Female,Married,Bachelor,0
Personal Loan,34827,0.077737434,21,Self-employed,Medium,746,Male,Divorced,Bachelor,1
Personal Loan,56820,0.078890787,59,Self-employed,High,334,Male,Married,Master,0
Personal Loan,63623,0.073225108,16,Self-employed,Low,498,Male,Married,PhD,0
Car Loan,82734,0.082925375,19,Full-time,High,376,Male,Divorced,High School,0
Education Loan,76450,0.068625769,57,Self-employed,High,668,Female,Single,PhD,0
Home Loan,94426,0.06304077,16,Self-employed,Medium,825,Female,Married,PhD,0
Home Loan,23299,0.089340668,35,Full-time,Medium,648,Male,Married,PhD,0
Personal Loan,44585,0.089442944,51,Self-employed,Medium,805,Male,Single,High School,1
Car Loan,65044,0.067935264,37,Full-time,Low,537,Male,Married,Bachelor,0
Home Loan,43557,0.093430331,17,Self-employed,Medium,579,Female,Divorced,PhD,0
Home Loan,50080,0.070526334,27,Part-time,Low,731,Female,Married,High School,0
Personal Loan,3693,0.083797479,47,Part-time,High,437,Male,Single,Bachelor,0
Personal Loan,96003,0.09230516,23,Full-time,Medium,568,Male,Single,PhD,0
Car Loan,96259,0.079495812,22,Self-employed,High,500,Female,Married,Master,0
Home Loan,70163,0.086821114,14,Full-time,Medium,441,Female,Single,High School,0
Personal Loan,26939,0.072253555,55,Self-employed,High,654,Male,Single,PhD,0
Education Loan,49925,0.077053001,48,Full-time,Low,628,Male,Married,High School,0
Education Loan,43941,0.076912109,17,Part-time,High,530,Male,Married,Master,0
Education Loan,22834,0.068801325,30,Full-time,Low,607,Female,Single,High School,0
Personal Loan,19047,0.077348388,29,Part-time,Medium,445,Male,Married,Bachelor,1
Car Loan,27105,0.056770726,27,Part-time,Medium,451,Female,Divorced,PhD,1
Education Loan,76766,0.072632694,34,Part-time,Medium,439,Male,Married,High School,0
Education Loan,16707,0.075726868,54,Full-time,Low,320,Male,Single,High School,0
Education Loan,22976,0.076157304,48,Full-time,Medium,553,Male,Divorced,PhD,0
Personal Loan,45262,0.076377538,20,Part-time,Low,363,Female,Single,Master,0
Personal Loan,24776,0.079073537,14,Full-time,Low,517,Male,Single,Master,0
Personal Loan,31080,0.087191623,19,Self-employed,High,371,Female,Divorced,PhD,0
Education Loan,67842,0.093117756,49,Part-time,Medium,461,Male,Married,PhD,0
Personal Loan,62373,0.070253522,15,Self-employed,High,429,Female,Single,Bachelor,0
Personal Loan,7776,0.061951987,23,Part-time,Low,524,Male,Married,High School,0
Car Loan,93787,0.064369334,55,Self-employed,High,753,Female,Married,High School,0
Personal Loan,56016,0.072691956,42,Part-time,Medium,683,Male,Divorced,Master,1
Home Loan,10474,0.07472118,36,Part-time,Low,406,Female,Single,Bachelor,0
Personal Loan,59053,0.068450059,27,Part-time,High,402,Female,Divorced,High School,1
Personal Loan,22959,0.06055825,53,Full-time,Medium,440,Male,Divorced,Bachelor,0
Home Loan,6530,0.073158188,25,Self-employed,Medium,433,Female,Single,PhD,0
Home Loan,95856,0.082721399,24,Part-time,High,498,Female,Single,High School,0
Personal Loan,4748,0.088925442,52,Full-time,Low,809,Male,Divorced,PhD,0
Car Loan,98504,0.071638654,18,Part-time,Medium,378,Female,Divorced,Master,1
Education Loan,99098,0.073805033,23,Self-employed,Low,781,Male,Divorced,Master,0
Home Loan,14545,0.066099525,48,Part-time,Medium,811,Male,Single,PhD,0
Car Loan,67199,0.079528412,15,Full-time,Low,549,Female,Single,Master,0
Personal Loan,35766,0.06727357,13,Part-time,Low,782,Female,Divorced,PhD,0
Personal Loan,74530,0.088596917,46,Part-time,Medium,471,Female,Single,PhD,0
Home Loan,94557,0.053212003,55,Part-time,High,316,Female,Single,PhD,0
Home Loan,62087,0.074605555,14,Part-time,High,593,Female,Single,Master,0
Car Loan,96839,0.08451661,15,Full-time,High,693,Male,Married,Master,0
Personal Loan,69840,0.082757518,49,Part-time,Low,797,Male,Married,Master,1
Home Loan,55384,0.120395505,23,Self-employed,High,518,Female,Divorced,PhD,1
Home Loan,52005,0.085247,30,Self-employed,High,533,Female,Married,Bachelor,1
Education Loan,47576,0.064939181,21,Part-time,Medium,689,Female,Divorced,Master,1
Home Loan,40353,0.078568036,12,Full-time,Low,547,Female,Divorced,Bachelor,0
Car Loan,63003,0.053356305,28,Self-employed,High,351,Female,Single,Master,1
Personal Loan,84211,0.078791004,27,Part-time,Medium,314,Male,Divorced,High School,1
Home Loan,53733,0.067504159,20,Part-time,Low,623,Male,Divorced,High School,0
Education Loan,66318,0.093730854,20,Full-time,Medium,740,Male,Divorced,High School,0
Home Loan,90474,0.071756896,20,Part-time,High,411,Female,Divorced,Bachelor,0
Home Loan,24664,0.078248511,23,Full-time,Low,306,Female,Single,Master,0
Personal Loan,68172,0.070466632,52,Self-employed,Low,544,Female,Single,PhD,1
Education Loan,86616,0.10608277,26,Part-time,High,747,Male,Divorced,Bachelor,1
Car Loan,94264,0.075181359,13,Full-time,Medium,664,Male,Married,Master,0
Car Loan,27736,0.107488356,22,Part-time,Low,666,Male,Married,High School,0
Personal Loan,95209,0.092212276,22,Part-time,Low,586,Male,Divorced,Bachelor,0
Car Loan,1854,0.087231001,19,Self-employed,Low,405,Female,Single,Master,0
Car Loan,91084,0.085530997,43,Part-time,High,312,Female,Divorced,PhD,1
Home Loan,39623,0.085906959,17,Full-time,Medium,445,Female,Divorced,Bachelor,0
Car Loan,8392,0.051084911,31,Full-time,High,777,Female,Single,PhD,0
Education Loan,56680,0.075816749,50,Full-time,Low,414,Female,Married,Bachelor,0
Home Loan,47717,0.09267737,46,Part-time,Medium,808,Female,Divorced,High School,0
Car Loan,88092,0.079266542,19,Part-time,Medium,451,Male,Single,High School,0
Education Loan,51859,0.058922152,54,Self-employed,High,356,Female,Single,High School,0
Home Loan,27309,0.079213933,45,Part-time,High,681,Female,Divorced,PhD,0
Education Loan,88455,0.105561583,30,Full-time,Low,456,Female,Single,High School,0
Personal Loan,64734,0.098703376,18,Full-time,High,432,Female,Divorced,PhD,0
Personal Loan,71467,0.07906994,42,Self-employed,High,462,Female,Married,PhD,0
Car Loan,53662,0.094271739,29,Full-time,High,574,Female,Divorced,PhD,0
Education Loan,99506,0.074502395,51,Full-time,High,376,Female,Married,High School,0
Home Loan,13688,0.054441926,25,Full-time,High,343,Female,Single,Master,0
Education Loan,26342,0.06613301,50,Self-employed,Low,849,Male,Divorced,PhD,1
Education Loan,38157,0.103443332,47,Self-employed,Medium,617,Male,Single,Master,0
Personal Loan,68863,0.075890104,28,Full-time,High,833,Male,Divorced,PhD,0
Personal Loan,53083,0.07634924,48,Full-time,Medium,453,Female,Single,High School,0
Car Loan,66733,0.075502427,55,Part-time,Medium,536,Male,Married,High School,0
Education Loan,90045,0.108562049,20,Part-time,High,816,Female,Divorced,High School,1
Education Loan,35698,0.104389384,31,Full-time,High,520,Male,Single,Bachelor,1
Home Loan,81623,0.113281704,56,Part-time,Medium,609,Male,Divorced,High School,0
Home Loan,23671,0.077614322,39,Full-time,Low,476,Female,Divorced,Master,0
Personal Loan,26184,0.084434367,31,Full-time,Medium,519,Female,Married,PhD,0
Education Loan,94384,0.057250362,52,Part-time,Low,337,Female,Single,Master,1
Car Loan,43107,0.102154016,47,Self-employed,Medium,730,Female,Divorced,Bachelor,0
Personal Loan,87202,0.062483307,38,Self-employed,High,502,Male,Divorced,Master,0
Education Loan,52663,0.083251633,19,Self-employed,Low,747,Male,Divorced,PhD,0
Personal Loan,16708,0.063540462,43,Full-time,Medium,794,Female,Divorced,PhD,0
Car Loan,92906,0.071166998,12,Full-time,Low,424,Male,Divorced,High School,0
Education Loan,50811,0.067441064,28,Self-employed,High,364,Male,Single,Bachelor,1
Car Loan,3811,0.070881871,20,Self-employed,Low,543,Male,Divorced,Bachelor,1
Education Loan,57250,0.071913159,31,Self-employed,High,826,Female,Divorced,Master,0
Education Loan,73082,0.071775968,56,Full-time,High,525,Female,Divorced,High School,0
Car Loan,35754,0.092500009,43,Full-time,Low,764,Female,Single,High School,0
Home Loan,96742,0.063427058,13,Part-time,High,592,Male,Divorced,High School,0
Car Loan,12411,0.083308121,43,Part-time,High,680,Female,Divorced,PhD,0
Car Loan,3911,0.098269387,56,Part-time,High,465,Female,Married,Bachelor,0
Personal Loan,68270,0.072302055,20,Self-employed,Low,517,Male,Married,Master,1
Car Loan,84763,0.069231217,41,Full-time,High,574,Female,Divorced,Master,0
Car Loan,9680,0.076542131,31,Part-time,Medium,351,Female,Divorced,Master,1
Personal Loan,85896,0.097695878,49,Part-time,High,673,Female,Married,High School,0
Home Loan,84879,0.082911614,12,Part-time,Medium,662,Male,Single,Bachelor,0
Car Loan,72295,0.072031786,16,Part-time,Low,313,Female,Single,Bachelor,0
Personal Loan,89614,0.08725815,46,Self-employed,Medium,639,Male,Married,PhD,1
Home Loan,12111,0.063465618,47,Full-time,High,838,Male,Divorced,PhD,1
Home Loan,38504,0.090220393,12,Full-time,High,388,Male,Married,PhD,0
Car Loan,2802,0.08612911,25,Full-time,High,340,Male,Single,Master,0
Home Loan,9155,0.075382873,20,Part-time,High,603,Male,Married,Master,0
Car Loan,74656,0.067421213,41,Self-employed,High,567,Male,Single,Bachelor,0
Home Loan,40384,0.066699786,35,Self-employed,High,437,Female,Divorced,PhD,1
Home Loan,48254,0.08802226,15,Self-employed,Low,305,Female,Divorced,Master,0
Home Loan,22918,0.098434708,25,Full-time,High,541,Male,Divorced,PhD,1
Car Loan,86981,0.070440384,36,Full-time,Medium,461,Male,Single,PhD,1
Home Loan,61713,0.086875801,15,Self-employed,Medium,817,Female,Married,Bachelor,0
Education Loan,31306,0.048694595,36,Part-time,Medium,700,Female,Divorced,Bachelor,0
Personal Loan,17646,0.071230734,21,Full-time,Low,455,Female,Single,Master,0
Personal Loan,47843,0.079534116,46,Full-time,Medium,384,Male,Divorced,Bachelor,0
Education Loan,97601,0.066354749,18,Part-time,Medium,309,Male,Married,PhD,0
Home Loan,91735,0.065952404,53,Part-time,Medium,437,Female,Divorced,Bachelor,1
Education Loan,17371,0.069983307,24,Full-time,Low,455,Male,Single,PhD,0
Car Loan,78371,0.084382891,15,Part-time,Medium,707,Male,Single,PhD,0
Personal Loan,3049,0.077190065,54,Part-time,Medium,524,Male,Divorced,Master,0
Home Loan,32616,0.046426532,47,Part-time,Low,483,Male,Divorced,Master,0
Personal Loan,21932,0.048189498,25,Part-time,High,494,Female,Single,Master,0
Education Loan,30855,0.070897022,29,Part-time,Medium,695,Male,Divorced,PhD,0
Education Loan,62434,0.086865299,19,Self-employed,High,433,Male,Divorced,Bachelor,0
Personal Loan,73694,0.038787427,43,Full-time,Medium,608,Male,Divorced,Master,0
Personal Loan,44016,0.072504047,38,Self-employed,Low,841,Male,Married,Master,1
Personal Loan,8400,0.072106282,53,Self-employed,High,308,Female,Married,Bachelor,0
Personal Loan,43642,0.100825067,48,Self-employed,Low,469,Male,Married,Bachelor,1
Education Loan,16151,0.074224673,34,Full-time,High,589,Male,Divorced,Master,0
Home Loan,52407,0.085744835,18,Full-time,Low,467,Female,Single,PhD,0
Personal Loan,67690,0.082118857,23,Full-time,High,643,Male,Divorced,PhD,1
Home Loan,5499,0.048041503,36,Self-employed,High,796,Male,Divorced,Master,0
Personal Loan,7295,0.091523108,14,Full-time,High,444,Male,Married,Bachelor,0
Car Loan,60040,0.083230948,37,Self-employed,Medium,712,Male,Single,PhD,1
Home Loan,13183,0.08762403,15,Part-time,High,756,Female,Married,Bachelor,0
Car Loan,30299,0.138893566,53,Full-time,High,601,Female,Single,High School,0
Education Loan,13874,0.048738306,47,Part-time,Medium,345,Female,Divorced,Bachelor,1
Car Loan,33711,0.10587045,26,Self-employed,Medium,316,Male,Divorced,Bachelor,0
Education Loan,6539,0.075688287,43,Full-time,Low,659,Male,Divorced,High School,1
Personal Loan,54351,0.084309934,40,Full-time,Low,560,Female,Single,PhD,1
Education Loan,62267,0.079317316,21,Part-time,Medium,422,Female,Married,PhD,0
Personal Loan,49354,0.073636455,32,Self-employed,Medium,530,Male,Married,PhD,0
Personal Loan,3557,0.071452506,27,Self-employed,Medium,411,Male,Married,Master,0
Personal Loan,39360,0.084942631,58,Full-time,Medium,545,Male,Single,High School,1
Education Loan,83018,0.057242395,30,Full-time,Medium,690,Male,Single,Bachelor,0
Personal Loan,3200,0.091258688,40,Full-time,Low,691,Male,Divorced,High School,0
Car Loan,69497,0.073757084,29,Full-time,Medium,627,Male,Married,High School,1
Car Loan,47975,0.06304896,55,Full-time,Medium,514,Male,Single,High School,1
Personal Loan,22357,0.073249807,27,Self-employed,Low,666,Male,Married,High School,1
Personal Loan,78505,0.098857238,12,Full-time,High,381,Male,Married,High School,0
Home Loan,3869,0.071969974,59,Part-time,Low,375,Male,Single,High School,1
Education Loan,62135,0.085376804,13,Full-time,Low,826,Female,Single,Master,0
Home Loan,51108,0.069035656,26,Full-time,Medium,802,Male,Divorced,High School,1
Car Loan,95179,0.091368828,50,Self-employed,High,778,Male,Divorced,High School,1
Education Loan,91272,0.090282616,39,Self-employed,Low,671,Male,Divorced,PhD,1
Car Loan,39467,0.107729132,12,Self-employed,High,564,Female,Married,High School,0
Education Loan,24328,0.077366541,16,Part-time,Low,563,Male,Married,High School,1
Education Loan,92412,0.090029822,53,Self-employed,Medium,409,Female,Divorced,PhD,0
Education Loan,87831,0.081471013,33,Full-time,Low,606,Male,Married,PhD,0
Car Loan,4987,0.099438077,47,Self-employed,Low,499,Female,Married,PhD,0
Personal Loan,59871,0.069217514,57,Part-time,Low,525,Female,Married,Bachelor,0
Car Loan,23399,0.09117508,24,Full-time,High,484,Male,Married,High School,0
Education Loan,47214,0.077079541,12,Full-time,High,330,Female,Single,High School,0
Car Loan,87416,0.079037177,27,Part-time,Medium,398,Female,Single,High School,0
Car Loan,71271,0.081376287,52,Self-employed,High,638,Male,Divorced,PhD,0
Home Loan,45064,0.083783606,33,Self-employed,High,565,Male,Divorced,Master,1
Education Loan,71091,0.078256564,43,Self-employed,High,649,Male,Married,High School,0
Car Loan,41818,0.083220698,27,Self-employed,Medium,843,Male,Married,PhD,0
Education Loan,46525,0.103671771,26,Part-time,Medium,756,Male,Single,PhD,0
Car Loan,20830,0.094781745,57,Part-time,Medium,387,Male,Married,PhD,1
Home Loan,18429,0.093037319,53,Self-employed,Medium,362,Female,Married,Bachelor,0
Car Loan,7893,0.073166907,23,Part-time,Low,686,Female,Divorced,PhD,0
Personal Loan,80909,0.066661388,12,Full-time,Medium,758,Male,Married,Master,0
Education Loan,48333,0.094329508,28,Self-employed,Medium,568,Male,Single,Bachelor,0
Home Loan,4436,0.093140702,52,Full-time,Low,645,Male,Married,PhD,0
Car Loan,75290,0.10209006,39,Full-time,Low,377,Male,Married,Master,1
Home Loan,77213,0.070940291,18,Full-time,High,664,Female,Married,Master,0
Car Loan,6895,0.07655677,20,Self-employed,High,313,Female,Married,High School,0
Education Loan,20738,0.055407738,33,Self-employed,Medium,435,Male,Married,PhD,0
Car Loan,31746,0.074112933,37,Self-employed,High,603,Female,Single,PhD,0
Home Loan,50377,0.094948558,23,Part-time,Low,696,Female,Divorced,High School,0
Personal Loan,49404,0.073002569,18,Self-employed,High,378,Male,Married,Master,1
Home Loan,55045,0.089607197,57,Full-time,High,717,Male,Divorced,PhD,0
Personal Loan,98888,0.077142453,58,Self-employed,Medium,541,Female,Divorced,High School,0
